     tau         EL         x1         y1         z1         x2         y2         z2
       0   -3.00666   -0.28339    0.00945   -0.28553    0.01568   -0.01142   -0.25809 
      10   -3.30067   -0.28339    0.00945   -0.28553   -0.62555    0.42154   -0.25809 
      20   -3.21765   -0.28339    0.00945   -0.28553   -0.62555   -0.58782   -0.25809 
      30   -3.00172   -0.33284    0.20994   -0.39125   -0.62555   -0.28129   -0.25809 
      40   -2.65349   -0.03566    0.08146   -0.27596   -0.62555   -0.36816    0.06888 
      50   -3.15132   -0.03566    0.60462   -0.27596   -0.43009    0.70375    0.04730 
      60   -2.81324    0.21344    1.44130   -0.49355   -0.43009   -0.46436    0.04730 
      70   -2.86536   -0.22749    1.44130   -0.49355   -0.49098   -0.46436    0.04730 
      80   -3.01799   -0.22749    1.44130   -0.49355   -0.49098   -0.05269    0.04730 
      90   -2.96924   -0.22749    1.44130    0.21704   -0.53626   -0.05269   -0.31909 
     100   -2.90661    0.26157    1.44130   -0.00966   -0.53626   -0.05269   -0.31909 
     110   -2.75050    0.26157    1.44130    0.30779   -0.19988   -0.52044   -0.09527 
     120   -3.00999    0.05873    1.44130   -1.12733    0.73460   -0.52044   -0.09527 
     130   -3.48147   -1.02206    1.21536   -1.12733    0.06336    0.33698   -0.09527 
     140   -3.21932   -1.02206    0.44101   -1.12733    0.06336    0.33698   -0.09527 
     150   -3.06932   -1.02206    0.44101   -1.07014    0.06336   -0.10451   -0.09527 
     160   -3.68048    0.24254   -0.92524   -1.73012    0.06336   -0.10451   -0.09527 
     170   -3.14813    0.24254    0.14842   -0.53737    0.06336   -0.10451   -0.09527 
     180   -2.68081    0.24254    0.14842   -0.13567    0.06336   -0.10451   -0.09527 
     190   -2.80648    0.24254    0.14842   -0.13567    0.06336   -1.22239   -0.29342 
     200   -2.62099   -0.00733    0.14842    0.19152    0.06336   -1.22239   -0.29342 
     210   -2.84923   -1.02951   -0.25349    0.19152    0.13604   -0.76008   -0.29342 
     220   -2.92976   -0.36393   -0.25349    0.45261   -0.73477    0.69005    0.22914 
     230   -2.82202   -0.36393    0.68474    0.45261   -0.73477   -0.07296   -0.30360 
     240   -2.96998   -0.33670    1.17621    0.22005   -0.73477   -0.07296    0.54073 
     250   -2.90759   -0.33670    0.91629   -0.32835   -0.73477   -0.14256   -0.30874 
     260   -2.40656   -0.33670    0.18509   -0.36674   -0.01643   -0.14256    0.03821 
     270   -3.23913   -0.23401    0.18509    0.69417   -0.01643    0.22694    0.11882 
     280   -2.34991    0.07876   -0.12832    0.62999   -0.01643    0.22694   -0.30853 
     290   -2.98671   -0.02797   -0.71112    0.62999    1.47266   -0.08048   -0.83974 
     300   -2.75053   -0.02797   -0.71112    0.12806    0.10622    1.26924    0.32420 
     310   -2.79635   -0.01636   -0.71112    0.12806    0.55074    1.26924    0.35479 
     320   -3.63073   -0.08529    0.63204    0.12806    0.55074    1.88721    0.54654 
     330   -3.64074   -0.08529    0.63204   -0.05827   -0.19294    1.88721    0.54654 
     340   -2.79859   -0.22997   -0.54503   -0.05827   -0.19294    1.37060    0.65194 
     350   -2.93649    0.18738    0.37054   -0.05827   -0.19294    0.54063    0.65194 
     360   -2.71870    0.18738    0.37054   -0.05827    0.00263    0.19292    0.65194 
     370   -2.36128    0.18738    0.37054   -0.05827   -0.19581    0.02263    0.03688 
     380   -2.45876    0.18738    0.28031    0.47068   -0.19581   -0.43939    0.03688 
     390   -2.76521    0.18738   -0.38640    0.31191   -0.23913    0.98107   -1.19330 
     400   -3.05498    0.04726    0.56771    0.31191   -0.61443    0.90093   -1.19330 
     410   -2.89243    0.04726    0.34165    0.31191   -0.30010    0.79040   -0.90974 
     420   -2.85626    0.36254   -1.03249    0.51289    0.61002    0.79040    0.20869 
     430   -2.89920    0.06919    0.28920    0.51289   -0.75854    0.79040   -0.15986 
