     tau         EL         x1         y1         z1         x2         y2         z2
       0   -3.02131    0.29795    0.15921   -0.11367   -0.37787   -0.08225   -0.71887 
     100   -2.75016    0.53189   -1.09803    0.19928    0.13217   -0.02677    0.86398 
     200   -2.69797   -0.31184    0.27947   -0.61759    0.34853   -0.09437   -0.31203 
     300    3.69551    0.43438    0.31733   -0.18963    0.43574    0.23293   -0.09098 
     400   -2.15044   -0.52685    0.75059   -0.54626   -0.13437    1.44516   -0.52660 
     500   -3.06249   -0.26545   -0.08268    0.38018    0.45504    0.02324   -0.30158 
     600   -3.09225   -0.24072   -0.43905   -0.76208    0.26347   -0.05451   -0.12667 
     700   -2.93387   -0.29021    0.45857    0.04421    0.61008    0.36034   -0.82444 
     800   -2.90615    0.69175    0.50831    0.48187   -0.88634   -0.30082    1.05463 
     900   -3.24374   -0.12301   -0.37569   -0.55812   -0.19797    0.14261    0.08714 
    1000   -2.66114    0.64916    0.66668    0.15884    0.19506    0.86601   -0.97615 
    1100   -3.03481   -0.29603   -0.38392   -0.11837    0.40058    0.29897   -0.13544 
    1200   -4.38637   -0.02964   -0.13068    0.08489   -0.03718    1.90207   -0.39833 
    1300   -2.89307    0.24349   -0.00251    0.40736   -0.46348    0.38218    0.02238 
    1400   -3.00170    0.43313    0.55433   -0.01129    0.11975   -0.38690    0.17084 
    1500   -3.14439   -0.05910    0.50263   -0.20859    0.66622   -1.18174    0.24497 
    1600   -3.28341   -0.29615    0.16680   -0.02816    0.85015    0.81591    0.41141 
    1700   -5.78123   -0.05750    0.02696   -0.04495    0.36407   -0.31469   -0.81208 
    1800   -1.49696    0.52317   -0.41909   -0.31010    0.58352   -0.21124    0.06932 
    1900   -2.81339    0.59763   -0.20141   -0.10872    0.09803    0.44823    0.20082 
    2000   -1.96701   -0.48078    0.50406    0.64460   -0.24987    1.12130    0.56473 
    2100   -3.22576   -0.98258    0.20817   -0.34489    0.22783    0.26667   -0.00353 
    2200   -4.34560   -1.58281    0.19132   -0.75048   -0.08694   -0.12082   -0.03749 
    2300   -2.48261   -0.13700    0.40860   -0.21964   -0.20254   -0.11008   -0.23045 
    2400   -3.07011    0.10907   -0.22527   -0.02449   -0.41131   -0.03945    0.32031 
    2500   -2.74385   -0.03069   -0.48944   -0.33102   -0.28829   -0.08682    0.08097 
    2600   -2.70096    0.89251    0.12548   -1.09623    0.23246   -0.38367   -0.40068 
    2700   -2.88305    0.15712    1.31147   -0.56720    0.57337    0.04034   -0.22583 
    2800   -2.85432    0.10441    0.32703   -0.21716    0.03412   -0.43031   -0.35518 
    2900   -3.31620   -0.88642   -0.03373    0.49391    0.03590    0.08771   -0.29552 
    3000   -2.76845   -0.38555   -0.85616   -0.21339    0.88125   -0.44768   -0.45771 
    3100   -2.97242    0.46892   -0.44237   -0.07873   -0.33105   -0.03547   -0.24302 
    3200   -2.52042   -0.39497    0.24426    0.55085   -0.00162   -0.22438    0.32584 
    3300   -3.18647    1.12667   -0.42875    0.46425    0.19224   -0.11739    0.17310 
    3400   -2.91959    0.77309   -0.25528   -0.19195   -0.60317   -0.65940    0.05334 
    3500   -3.03316   -0.74600    0.03883    0.28447    0.64984   -0.00031   -0.40159 
    3600   -2.98625   -0.12864   -0.06859   -0.36375   -0.17755    0.05682    0.29413 
    3700   -2.80608   -0.59808    0.18850    0.40944    0.40553    0.08959    0.43655 
    3800   -3.51092   -0.52986    0.11090   -0.60003    0.03270    0.00690    0.23119 
    3900   -2.33546    0.51120   -0.16062    0.41051   -0.11533   -0.38298    0.68228 
    4000   -1.99243    0.23792    0.15270    0.01407    0.09328   -0.02900   -0.14421 
    4100   -2.89969    0.30017    0.08588    0.87988   -0.35997    0.35231    0.04661 
    4200   -3.51475    0.03828    1.17145   -1.31401   -0.13507    0.11714    0.24339 
    4300   -3.80892   -0.07731   -0.11001    0.13625   -0.69540   -0.47246    1.14695 
    4400   -3.07096    0.06342   -0.23863    0.54290    0.18272    1.72262    0.77359 
    4500   -2.98245    0.79949   -0.46949   -1.05284   -0.11509   -0.38359    1.96869 
    4600   -3.14493    0.16216    0.15978   -0.41824    0.32254   -0.49165    0.96940 
    4700   -1.44643    0.24327    0.05722    0.13109    0.08752    0.30887    0.08762 
    4800   -2.89020   -0.09029   -0.54564    0.44090   -0.28588    0.67158    0.35716 
    4900    0.41452   -0.34700    0.33093   -0.20323   -0.38901    0.12723   -0.13374 
    5000   -2.92064   -1.02894   -1.37820    0.38545    0.60204   -0.55886    0.04061 
    5100   -1.44527   -0.82621   -0.42993    0.07174   -1.02338   -0.56783    0.50046 
    5200   -3.04538   -0.71141    0.79650    0.49134    0.04690    0.23112   -0.37998 
    5300   -2.59341    0.00453    0.36493    0.00817   -0.24495   -0.00655   -0.26875 
    5400   -2.92889    0.07802   -0.53978    0.70199   -0.68204    0.15876   -0.19893 
    5500   -2.50991    0.08548   -0.24866    1.19173    0.82724    0.62758    1.07625 
    5600   -3.10333   -0.65647   -0.94831   -0.36350    0.32008    0.43439   -0.15395 
    5700   -2.89491   -0.07370   -0.31900   -0.45188    1.16719   -0.78486   -0.48494 
    5800   -2.76639   -0.25030   -0.28252    0.05699    0.19986   -0.60188   -0.50380 
    5900   -2.30144    0.45863   -0.33244   -0.13287   -0.06268   -0.68319   -0.35408 
    6000   -2.06688   -0.52920    0.62778    0.73159   -0.96432    0.35991    0.24135 
    6100   -3.15281   -0.35186    0.77251   -0.80625    0.21784   -0.30439    0.34234 
    6200   -3.01887   -0.16768   -0.65491    0.08151    1.32459    0.06842   -0.79902 
    6300   -2.83784   -0.53859   -0.86012    0.73262    0.96785   -0.62211   -0.01341 
    6400   -4.22283   -0.05483   -0.14525    0.06028    0.07710    1.51558   -0.05935 
    6500   -2.28752   -0.17820   -0.22238    0.31303   -0.59422   -0.56784    0.05754 
    6600   -2.66982   -0.03307    0.71879    0.33973    0.67024    0.27188   -0.18341 
    6700   -2.98164    0.40519    1.13686    0.33897    1.26402   -1.71212   -0.04133 
    6800   -3.24684    0.21206   -0.06305   -0.13246    0.52556    0.27185    0.63454 
    6900   -4.59779    0.73944   -0.57559   -0.60354   -0.05319    0.07826   -0.08000 
    7000   -3.05716    0.92151   -0.46443    1.02138   -0.58192   -0.21442   -0.35524 
    7100   -2.80553    0.04735   -0.36028    0.11451   -0.65513   -0.86560    0.26629 
    7200   -2.99650   -0.30204   -0.36487    0.13518    0.13592   -0.13610    0.02253 
    7300   -2.65908    0.24656    0.21632    1.17343    0.05265   -0.44007    0.42491 
    7400   -2.58938    0.48011    0.35838   -0.79882    0.09014   -0.48506   -0.53465 
    7500   -2.72442    0.88014   -0.47864    0.85924    0.01038   -0.92660   -0.04894 
    7600   -0.98665   -0.14047    0.24555   -0.37493   -0.28183    0.49927   -0.21693 
    7700   -2.64248    0.35485    0.42884    1.14601    1.46616    1.43349    1.52612 
    7800   -3.42860   -0.02228   -0.27417    0.18004   -0.67105   -1.42444   -1.20434 
    7900   -2.83126   -0.41882   -0.71429   -0.80984   -0.14184   -1.02052    0.87055 
    8000   -2.99637    0.80911    0.17559    1.11790   -0.57235   -0.70531   -0.75034 
    8100   -2.99954    0.71123   -1.29450   -0.70365   -0.34138    1.27429    0.41508 
    8200   -2.18484    0.26122    0.15617   -1.32763    0.56144    0.22145   -0.62424 
    8300   -1.65965    0.24706    0.35147   -0.32925    0.64130    0.46144   -0.11607 
    8400   -3.00402   -0.60596   -0.58539    0.67927    0.72018    0.06864   -0.62315 
    8500   -2.36220   -0.62586   -0.65397    0.08799   -0.27045   -0.66660   -0.67405 
    8600   -2.63898    0.41586   -0.08785    0.75861   -0.31612   -0.22955    0.34951 
    8700   -3.24909    0.42578    0.07127    0.09943   -1.16233   -0.29543   -0.81841 
    8800   -2.66334    0.22372    0.41130    0.30463   -0.21097    0.68806   -0.41034 
    8900   -3.15045   -0.27117    1.09656   -0.66118    0.20938   -0.29845    0.38079 
    9000   -2.96192    0.15878    0.41998   -0.72572    0.99202   -0.22725    0.77845 
