     tau         EL         x1         y1         z1         x2         y2         z2
       0   -2.72149   -0.74384    0.36178    0.58744   -0.05618   -0.36191   -0.55613 
     100   -3.34558   -0.09226   -0.05681    0.08785    0.02653   -0.80795    0.60117 
     200   -3.31214   -0.43847   -0.10610   -1.21455   -0.40733    0.19915   -0.34135 
     300   -2.98239    0.02817   -0.20830    0.54736    0.14540   -0.85633    0.22687 
     400   -3.49663    0.11196    0.49249    0.50918    0.61422    1.33734    0.67227 
     500   -2.99139    0.20834   -0.04059    0.31657    0.28824    0.26765    0.30546 
     600   -2.76714    0.22673    0.11220   -0.07326   -0.05569   -0.29593    1.15615 
     700   -2.60425    0.27390    0.09447    0.63526   -0.18772   -0.17351    0.06402 
     800   -3.02412   -1.05386   -0.69814    0.41794    1.09234   -0.33659    0.68904 
     900   -2.91714    0.13880   -0.07219    0.04796   -0.02551   -0.13637    0.62900 
    1000   -3.21069   -0.39277   -1.30064   -0.75569   -0.62181   -0.24791   -0.00724 
    1100   -2.83199    0.73450    0.52605   -0.15343   -0.15169   -0.51531    0.93381 
    1200   -2.75548    0.57015    0.67487    0.68221    0.06857   -0.23436   -0.63462 
    1300   -2.92034   -0.36769    0.34475    0.35550    0.09769    0.39952    0.33286 
    1400   -2.76311   -0.56051   -0.50509    0.57028    0.81862   -0.10741   -0.31975 
    1500   -3.16983   -1.56626   -0.10718   -0.93832   -0.61938    0.81992    1.14076 
    1600   -2.74398    0.55382   -0.08830   -0.10501    0.23997   -0.35566    0.41205 
    1700   -3.00191   -0.90469    0.08840   -0.97755    0.66850    0.62035   -0.66242 
    1800   -2.57578    0.28698    0.01061    0.24765    0.24433    0.37019   -0.55619 
    1900   -2.81695   -0.03537   -0.25038   -0.33718   -1.04846    0.17957    0.08495 
    2000   -2.86378   -0.15397   -0.27809   -0.41262   -0.54782   -0.59186    0.98404 
    2100   -2.60987   -0.59595   -0.06743    0.12604    0.75057    0.19132    0.36023 
    2200   -2.49182    0.15416    0.24624   -0.36801   -0.62798   -0.27424    0.26831 
    2300   -2.77694   -0.61577    0.42463   -1.13423    0.19260   -0.36146    0.14522 
    2400   -3.06293    0.08581   -0.17410    1.31426   -0.60692   -1.03252    0.45259 
    2500   -2.94210   -0.96714   -0.40187   -0.79859   -0.51946    0.18284    0.57547 
    2600   -3.08719   -0.83845    1.21870    1.05947   -0.14808   -0.21307   -1.05637 
    2700   -2.35216    0.08751   -0.35440   -0.02870   -0.43796    0.30674   -0.15459 
    2800   -2.58768   -0.03395    0.22396    0.08155    0.41689   -0.34662   -0.85682 
    2900   -2.70747    0.08309   -0.10466    0.11427    0.56306    0.54335   -0.87075 
    3000   -3.18958    1.60918   -2.11524   -1.19431   -0.26764    0.15574   -0.01895 
    3100   -2.95530   -0.32683    0.21296    1.33034   -0.79125    0.11911   -0.47008 
    3200   -2.77270   -0.61934    0.17218    0.13741   -0.12224    0.55068   -0.19880 
    3300   -3.26297    0.01159   -0.15671    0.04922    0.10528   -0.31343    0.99313 
    3400   -3.32588   -0.41228   -0.22374   -0.11912   -0.66672   -0.31584    0.09570 
    3500   -2.37133    0.51971    0.16625   -0.01666   -0.27435   -0.11868    0.30334 
    3600   -2.38170   -0.18550   -0.41323    0.15801    0.22324    0.28783   -0.42053 
    3700   -2.99344    0.25978    0.02468   -0.25462    0.80153    0.46307    0.33269 
    3800   -2.60283   -0.45502    0.33461   -0.13971    0.08754   -0.03216   -0.44901 
    3900   -3.08460   -0.23712    0.32299   -0.27995    0.02204    0.84568   -0.08194 
    4000   -2.87602    1.23310    0.62860   -0.60282   -0.07858    0.03388    0.37466 
    4100   -3.04015   -0.04377    0.80715   -0.36214    0.28422    0.39497   -0.85365 
    4200   -3.00994    0.60175    0.65294    0.66184    0.19490   -0.45437    1.09111 
    4300   -2.91952   -0.13007   -1.09970   -0.66388    0.62233    0.76439    0.27100 
    4400   -2.24185    0.01799   -0.18835   -0.47965    0.12860    0.14069    0.20568 
    4500   -2.41776   -0.05853    0.36821    0.21326   -0.12833   -0.02060   -0.51485 
    4600   -2.29153    0.00161   -0.33043    0.09666   -0.20903    0.48542   -0.19032 
    4700   -2.57646    0.01315   -0.10504   -0.37833    0.47788   -0.34743    0.14529 
    4800   -2.60428    0.04960    0.72178   -0.18515    0.08689    0.00578    0.35968 
    4900   -3.03101   -0.02525   -0.78914   -0.12057    0.95095   -0.04371   -1.15244 
    5000   -2.82186   -0.64420   -0.01571    0.17296    0.09643   -0.75291   -0.84909 
    5100   -2.89842    0.49782    0.73920   -0.08786   -0.90545    0.23818   -0.76181 
    5200   -2.71315    0.71947    0.18293    0.55510   -0.38726    0.27539    0.21745 
    5300   -2.62150    0.02463    0.43104    0.36806    0.15619    0.33623   -0.57956 
    5400   -2.72768   -0.01182    0.25670    0.20377    0.50909   -1.11740    0.18319 
