     tau         EL         x1         y1         z1         x2         y2         z2
       0   -3.39546   -0.57028   -0.05705   -0.31574   -0.90247    0.03226   -0.06523 
     100   -3.39309   -0.74603   -0.24031    0.25821   -0.24151    0.10212    0.04153 
     200   -3.08676    0.11856    0.36790   -0.62012   -0.01674   -0.10633   -0.16391 
     300   -3.08163   -0.79253    0.17484   -0.10757   -0.67644   -0.30918    1.43046 
     400   -3.05308   -0.69482   -0.13934   -0.42364   -0.39836   -0.40279    0.10566 
     500   -2.91140    1.11783    0.92510    0.49762   -0.03210   -0.48807   -0.96643 
     600   -2.96968    1.01878   -0.83610    0.67542    0.09264    0.00900   -1.36085 
     700   -2.91172    0.16376   -0.59042   -0.65667   -1.22424    0.80532    1.03653 
     800   -3.37837   -1.37552   -1.38913   -0.43268   -0.10447   -0.04802    0.15459 
     900   -2.32972    0.35811   -0.04769    0.30568    0.02727   -0.02119   -0.25184 
    1000   -3.06824    1.43890   -0.14133   -0.03745    0.28866    0.22166   -0.74787 
    1100   -3.20077   -0.10006   -0.15734    0.24589    0.23558   -0.73267    0.24762 
    1200   -2.42761    0.09241    0.00278   -0.59499   -0.18800   -0.04102    0.63938 
    1300   -2.71971    0.67008   -0.22794   -0.20235   -0.41003   -0.69862   -0.16115 
    1400   -2.83549    0.76431    0.08706    0.46429    0.12560   -0.45340    0.00647 
    1500   -3.47338   -0.73380    0.67040   -0.57419   -0.07609    0.28560   -0.37918 
    1600   -3.29015    0.17270    0.20982    0.50448    1.12619   -1.21400    1.02883 
    1700   -2.57031   -0.63804   -0.11488    0.02460    0.76607    0.23040   -0.46799 
    1800   -2.51338    0.14600   -0.40221    0.12011   -0.18060   -0.03891   -0.54283 
    1900   -2.95141   -0.37936    0.73937    0.22281   -0.44586   -1.82119    0.32021 
    2000   -2.71584    0.08256   -0.31794    0.42163   -0.77764    0.89461   -0.85851 
    2100   -2.61276   -0.40904    0.26284   -0.51805    0.21386    0.49684    0.44318 
    2200   -2.70545   -0.34019   -0.17666    0.77430    0.35461    0.43146   -1.00920 
    2300   -2.53376    0.12472    0.50216    0.34639    0.38041   -0.15890   -0.13846 
    2400   -2.28222    0.06048   -0.02481    0.06665   -0.32978    0.47110   -0.16147 
    2500   -3.08106    0.57803   -0.20541   -0.84562    0.58961   -0.63743   -0.10893 
    2600   -3.24660    1.48662    1.19581   -1.30977   -0.29810   -1.91694    1.16361 
    2700   -2.53849   -0.48450   -0.03303    0.44786   -0.06186    0.06575   -0.68642 
    2800   -2.97971    0.69592   -0.51506    0.06895    0.21448    0.04389    1.32708 
    2900   -2.67220    0.12768    0.62332   -0.41410   -0.07808    0.24465    0.71329 
    3000   -3.05113   -0.13892   -1.06728   -0.26895    0.52266   -0.70612    0.39328 
    3100   -3.07769    0.03568    0.98088    0.25280   -0.53980    0.88897   -1.00134 
    3200   -2.82205   -0.35466   -0.47451   -0.14797    0.10542   -0.45378    0.34527 
    3300   -2.67021    0.54698   -0.17463   -0.37617   -0.31650   -0.54478    0.76977 
    3400   -2.70590    0.68723    0.35322   -0.31177   -0.19290    0.23832   -0.04304 
    3500   -2.75504    0.49689    0.17436    0.04145   -0.92470    0.72162   -0.57761 
    3600   -2.88646    0.92933   -0.54374   -0.34109   -0.70059    1.08884   -0.58625 
    3700   -3.29735   -0.23889    0.32171    0.22713   -0.01542    0.48046    0.37731 
    3800   -2.95238   -0.31721   -0.87953    0.94306    1.26783    0.76918   -0.39990 
    3900   -2.55791   -1.16693   -0.14213   -0.04815    0.33286    0.07964   -0.12165 
    4000   -2.65987    1.07542    0.28916   -0.57331   -0.38286   -0.12259    0.44358 
    4100   -2.94986    0.36893    0.60958    0.06828   -0.57818    0.74400    0.34997 
    4200   -2.91847    0.22004    0.07039   -0.13977    0.15811   -0.12944   -0.08095 
    4300   -2.48936   -0.37232   -0.69283   -0.36082    0.36020    0.13349    0.20339 
    4400   -3.02487    0.61911   -1.48215    1.03018    0.38223    0.60371    0.31154 
    4500   -2.73857   -0.31306   -0.30244   -0.11894   -0.00913    0.12323   -0.66277 
    4600   -2.95261    0.04627   -0.17816    0.03397    0.97625    0.73764   -1.32143 
    4700   -2.77588   -0.08446   -0.60807    0.05826    0.20156   -0.12447    0.59575 
    4800   -3.15318   -0.56503    0.00951    0.84901   -0.17390   -0.85817    0.90161 
    4900   -2.85301   -0.74574   -1.41067   -0.31441    0.32281    0.28386   -0.37910 
    5000   -2.61323    0.19733    0.57390   -0.81316    0.16462    0.05119    0.47870 
    5100   -3.43010    0.03952    0.73063    0.56694   -0.20693    0.30496    0.38363 
    5200   -2.68053   -1.44501   -0.18816    0.24478    0.11318    0.10970   -0.09242 
    5300   -2.59296    0.28678   -0.47306   -0.24878   -0.87505    0.36385   -0.02178 
    5400   -3.43278   -0.88546    1.68525    0.89978    0.14034    0.17590    0.38195 
    5500   -3.44943    2.18143   -0.49623    0.09217    0.06983    0.04388   -0.10222 
    5600   -3.10161    0.57675    0.38679   -0.59093    0.75727   -0.14228   -0.19697 
    5700   -2.94826   -0.64832   -0.44420   -0.42570   -0.14573    0.23685   -0.43748 
    5800   -2.39214    0.34893   -0.27970   -0.37182    0.04534    0.15715    0.41416 
