     tau         EL         x1         y1         z1         x2         y2         z2
       0   -2.77811   -0.48324   -1.30312   -0.08993   -0.46097    0.88103    0.30406 
     100   -2.96905   -0.20694   -0.11168    0.85815    1.42974   -0.90981    0.10225 
     200   -3.39996   -0.01122   -0.15111    0.05651    0.42313   -0.50136   -0.01176 
     300   -2.73672   -0.20030    1.37237    1.27484    0.24288   -0.33971   -0.24840 
     400   -3.45715    0.00802    0.53151   -0.25525    1.57088    1.54394    0.26552 
     500   -2.51964    0.40571   -0.09395   -0.20003   -0.56828    0.67996    0.59803 
     600   -2.82767    0.34081    0.48529    0.53525   -0.32128    0.37792   -0.02113 
     700   -2.73654    0.55723    1.46155    0.29877    0.23446   -0.56820   -0.05703 
     800   -2.73265   -0.30019   -0.33537   -0.52366    1.29587   -0.15865    0.74165 
     900   -2.58173    0.30598    0.13349    0.12171   -0.80072   -0.15675   -1.05426 
    1000   -3.64036    0.01113   -0.00929    0.47178   -0.11235   -0.24059    0.72421 
    1100   -2.99748   -0.78352    1.15561    0.10740    0.25591    0.18624   -0.09728 
    1200   -2.68956    0.71010   -1.01151    0.08313   -0.40587    0.94356   -0.13678 
    1300   -3.74563    0.04996    1.57407   -0.88874   -0.15772    0.57728   -0.20539 
    1400   -2.62347    0.62443   -0.23732   -0.20795    0.12399    0.56336    0.32250 
    1500   -3.06894   -0.27566    0.05983   -0.10750   -0.22436   -0.24622   -0.34084 
    1600   -3.52597   -0.06282    1.05694    0.40461    0.22811    0.51694    0.40465 
    1700   -2.75540   -0.69997    1.30945    0.19688   -0.16137   -0.44588    0.22495 
    1800   -2.70997    0.05066    0.61263    0.36233   -0.09744    0.30042   -0.84276 
    1900   -2.63120   -0.49534    0.24614   -0.53177    1.04091    0.18891    0.19904 
    2000   -3.37564   -0.23768    0.33188    0.52507   -0.13829    0.07539    0.01713 
    2100   -2.64035   -0.00139   -0.18999    0.09158    0.86078    0.67762    0.11459 
    2200   -2.32693   -0.37092   -0.08431   -0.31065    0.31130    0.31011    0.11441 
    2300   -2.47262   -0.23100   -0.39104   -0.32291    0.10743    0.14801   -0.10512 
    2400   -2.89804   -1.17583    0.48524   -1.22781   -0.06147   -0.95683    0.33280 
    2500   -2.89082    0.04674   -0.74347   -0.30145    0.70583   -0.17419   -0.03551 
    2600   -2.82909   -0.12292    0.07836   -0.18606   -0.67412   -1.15641    0.73305 
    2700   -3.40095    0.64095    0.59190   -0.43782    1.09411    1.99923    1.21591 
    2800   -3.10597   -0.09313   -0.39913   -1.00109   -1.61448    0.06885   -0.49275 
    2900   -2.60870   -0.69973    0.31577   -0.52092    0.13051    0.05331    0.79396 
    3000   -2.68114    0.40314   -0.65229   -0.39573   -0.55796    0.30107   -0.50775 
    3100   -2.43415    0.30256    0.04979    0.17683   -0.21018   -0.54846   -0.37913 
    3200   -2.58336   -0.42934   -0.42334   -0.08913    1.09744    0.37114    0.32657 
    3300   -2.72703   -0.30591   -0.06248   -0.48829   -0.36159    0.02553    0.17195 
    3400   -2.72994   -0.23706   -0.91626    0.60001    0.59936    0.49990    0.35256 
    3500   -2.55542    0.35640   -0.40417   -0.63873   -0.41545    0.54690   -0.00347 
    3600   -2.55394   -0.14279   -0.25236    0.04990    0.40775   -0.01487   -0.61276 
    3700   -2.37154    0.32321   -0.06548    0.12583   -0.32166   -0.33639   -0.11924 
    3800   -2.66562    0.00996    0.00367    0.11801   -1.11300    0.26646   -0.94328 
    3900   -2.97610   -1.28844   -1.19131   -1.47284    0.68206   -0.37107    0.51752 
    4000   -3.73948    0.27899   -0.05331   -0.08786    0.68807   -0.38188   -0.31181 
    4100   -3.09431    0.70267   -1.25504    0.29749   -0.98776   -1.02357    0.74789 
    4200   -2.38669    0.29306   -0.03619   -0.42029    0.08136   -0.14580    0.41159 
    4300   -3.02510    0.85527   -0.17564   -0.18758   -0.01207   -0.20262   -0.12005 
    4400   -3.54150    0.47728   -0.13080   -0.32548    0.55812   -0.03161   -0.20388 
    4500   -2.80376   -0.54232   -0.04046    0.19672   -0.16408    0.72503    0.05299 
    4600   -2.79529   -0.27058    0.82285    0.75708    0.06911   -0.26137    0.19924 
    4700   -2.91100    1.30887    0.14487    0.69563    0.02961   -0.18112   -0.13139 
    4800   -2.80073   -0.01594   -0.17271   -0.01377   -0.03803   -0.11011    0.34057 
    4900   -2.32463   -0.25706   -0.47792   -0.24228    0.09709    0.28135    0.32467 
    5000   -2.71991    0.86158   -0.68911   -0.51901    0.03287    0.23686   -0.01638 
    5100   -2.78140   -0.21855   -0.80317    0.50645   -0.12080   -0.03024   -0.17946 
    5200   -3.30802   -1.41194    0.74997    1.02827   -0.17705    0.98324    0.16372 
    5300   -2.62156    0.97915   -1.12568    0.42017   -0.31517    0.30991   -0.00519 
    5400   -2.55547   -0.38352   -0.21253   -0.10883    0.49234    0.63539   -0.52725 
    5500   -2.65546   -0.11163    0.20474   -0.44297   -0.55720   -0.50058    0.04923 
    5600   -2.46599    0.29573   -0.45569   -0.01996    0.23577    0.45821    0.08577 
    5700   -3.62601   -0.50258    0.66288   -0.94803   -0.26670    0.09262   -0.15012 
    5800   -2.83799   -0.37654   -0.07297   -0.15817    0.35088   -0.88127   -0.38640 
    5900   -2.74191   -0.70710    0.17679    0.15627    0.10919    0.54923   -0.03824 
    6000   -2.49284   -0.68383   -0.13762    0.56157    0.50683    0.16871   -0.02116 
    6100   -3.10927   -1.23683   -0.14356   -0.69328   -0.70048    0.59046    0.25645 
    6200   -3.27662   -1.12812   -2.42400   -1.24524    0.47052   -0.68020    0.56781 
    6300   -3.58729    0.33123    0.10246   -0.17190    0.44559   -0.02704   -0.34420 
    6400   -2.50276   -0.34987   -0.27350   -0.37699    0.49463   -0.29984    0.28228 
    6500   -3.47474    1.07250    1.30842    1.68816    0.04921    0.14927   -0.04841 
    6600   -2.74798   -0.67627   -0.46864   -1.07028   -0.08212    0.00235    0.15508 
    6700   -2.97345    0.43365   -1.97884   -0.80627    0.44260    0.51505   -0.22446 
    6800   -3.10374    0.24055    0.20562    0.08413    0.57530   -0.35264    0.61226 
    6900   -3.35045   -0.10165   -0.35282   -0.38192   -0.56155   -0.11453   -0.71549 
    7000   -3.08531   -1.29556   -0.50292    1.27286    0.57762    0.36622    1.08113 
    7100   -2.64866    0.51367    0.17545    0.30408   -0.90934    0.66047   -0.32758 
    7200   -2.66832   -0.29240   -0.48045   -0.46385   -0.12783   -0.30286    0.78457 
    7300   -3.02540    0.10766   -0.32619    1.01523    1.49730    0.33818    0.28072 
    7400   -3.71844    0.79936    0.33948   -1.91064    0.08562   -0.07359   -0.15870 
    7500   -3.05091    0.80127   -0.20684    0.89899   -0.34291   -0.56368    0.76936 
    7600   -2.35194   -0.13033    0.38262   -0.44917   -0.10295   -0.32639    0.12842 
    7700   -2.71534    0.54741    0.01211    1.63129   -0.32375   -0.02256   -0.56512 
    7800   -3.22169    0.09759   -0.12998   -0.17778   -0.22794    0.68930   -1.19922 
    7900   -2.96335    0.71254    0.79456   -0.39987    0.58751   -0.65574   -0.91169 
    8000   -2.85460   -0.16853   -0.25619    0.12342   -0.32869   -0.05625   -0.15244 
    8100   -3.10695    1.52116    0.42999    0.24544    0.06316    0.05690    0.66635 
    8200   -3.27905    0.17642   -1.09479   -0.31335    0.40297   -0.18285   -0.11417 
    8300   -2.67157    0.88238   -0.45673   -0.00714   -0.46859   -0.04023   -0.67211 
    8400   -2.79543    1.04411    0.15350    0.53071   -0.40684   -0.47789   -1.22559 
