     tau         EL         x1         y1         z1         x2         y2         z2
       0   -3.99551    0.28968    0.06975   -0.04949    0.09575    0.12604    0.38519 
     100   -4.00055   -0.07770    0.17383   -0.45339    0.00524    0.52342   -0.22089 
     200   -4.00444   -0.70515   -0.35371   -0.34477   -0.06412   -0.85364   -0.14706 
     300   -3.98824   -0.10251   -0.28957    0.55362   -0.00450    0.12010   -0.08088 
     400   -4.00606    0.89896   -0.29106    0.48442   -0.98389    0.19928    0.86457 
     500   -4.00212   -0.10359   -0.74595   -0.71200    0.02618    0.07358   -0.44182 
     600   -4.00142    0.25156   -0.57464   -0.48522   -0.06823    0.41256   -0.17766 
     700   -4.00397    0.68001    0.19465   -0.09614   -0.81953    0.32087   -0.25521 
     800   -4.00454    0.04929   -0.36641    0.46653   -1.46487   -0.14030    0.81657 
     900   -4.00590   -2.24019    0.62488    0.89502   -0.62665   -0.36185    0.15067 
    1000   -4.00118    0.40831    0.15864   -0.05564   -0.61385    0.46982    0.07862 
    1100   -4.00147   -0.44735    0.03953   -0.27199   -0.27738    0.19997   -0.55320 
    1200   -3.99744    0.34288   -0.38310   -0.07726   -0.30495    0.08400    0.08395 
    1300   -3.98678    0.24562   -0.00177    0.33203   -0.02413    0.04158   -0.14327 
    1400   -3.99072    0.16227   -0.01464   -0.03979   -0.22484   -0.59480    0.01227 
    1500   -3.98439   -0.09238    0.04835    0.13615   -0.06912   -0.08181    0.21820 
    1600   -4.00378    0.41833   -0.16982    0.35089    0.24655   -0.41513    1.12670 
    1700   -4.00260   -0.28852    0.52026    0.04774    0.52671    0.03112    0.52981 
    1800   -4.00014   -0.49678    0.15494   -0.19443    0.11912    0.29490   -0.33976 
    1900   -4.00076   -0.58036    0.30988   -0.15160   -0.07905    0.41600    0.14603 
    2000   -4.00433   -0.26775   -0.19516    0.43110   -0.88600   -1.55863    0.74966 
    2100   -4.00119    0.19072   -0.43164    0.15930    0.25066    0.29940   -0.51852 
    2200   -4.00600    0.76894   -0.51131    0.02082   -0.28266   -0.84804   -1.29338 
    2300   -4.00433   -0.00900   -0.24678    0.53938   -0.50124    0.46047   -1.33418 
    2400   -3.99762    0.26354   -0.08650    0.31807   -0.23184   -0.03891    0.31582 
    2500   -3.99466    0.38093    0.83416   -0.33346   -0.03552   -0.00512   -0.19631 
    2600   -4.00361   -0.21986    0.29145    0.68169   -0.31530   -0.67794   -0.03907 
    2700   -4.00227   -0.45195   -0.33084   -0.16162   -0.06787    0.26361   -0.64848 
    2800   -4.00272    0.15724   -0.06111   -0.51181    0.88946   -0.04939   -0.11670 
    2900   -4.00043   -0.37146    0.17211   -0.18033    0.27485    0.55837   -0.04949 
    3000   -4.00291    0.02837   -0.53832   -0.20496    0.15536    0.26792    0.80545 
    3100   -4.00347    0.79849   -0.10440   -0.32261    0.34669   -0.54551    0.09921 
    3200   -3.99761   -0.18824   -0.44556   -0.14839    0.29195    0.10928    0.13681 
    3300   -3.99161   -0.19119    0.05013   -0.16415    0.10813   -0.28136   -0.02394 
    3400   -3.99406   -0.07130    0.22863   -0.05192    0.39473   -0.10921   -0.20428 
    3500   -3.99208   -0.11875   -0.01542    0.12774   -0.62566   -0.06441   -0.43472 
    3600   -4.00300    0.24440    0.10167   -0.86743   -0.42092    0.38112   -0.03309 
    3700   -4.00442   -0.19492    0.53599    1.41279    0.35628    0.27551    0.39754 
    3800   -3.99662   -0.17797   -0.44444   -0.08938   -0.01479   -0.30036   -0.07097 
    3900   -3.98433    0.02772   -0.10508    0.05635    0.24314   -0.28133    0.41206 
    4000   -4.00454   -0.40856   -0.39198   -0.21795    1.55183   -0.20166   -0.33304 
    4100   -3.99912   -0.29088   -0.01843    0.16824    0.59428   -0.42169   -0.06624 
    4200   -4.00433    1.05029   -0.56186    0.62675    0.12747    0.60060   -0.09083 
    4300   -4.00288   -0.23885    0.57816    0.03251   -0.35324    0.29127   -0.60990 
    4400   -4.00155   -0.14481    0.27380   -0.52074    0.40767   -0.36230    0.15647 
    4500   -4.00478   -0.00556    0.58678    1.40138    0.13316   -0.64083    0.04855 
    4600   -4.00171    0.40619    0.05891    0.08010   -0.44925    0.93688   -0.03222 
    4700   -4.00402   -0.15853    0.28342    0.64736    0.28494   -0.10066   -0.86699 
    4800   -3.99923    0.85510    0.48492   -0.06433    0.07945    0.04564    0.29053 
    4900   -4.00566   -0.56826    0.69985    0.11131   -0.18119   -1.25519   -0.44277 
    5000   -4.00561    0.39418    0.74770    0.11185    0.94859   -1.04820    0.27269 
    5100   -4.00263    0.28113    0.51780    0.08807   -0.48367    0.57665   -0.06267 
    5200   -3.99873   -0.03466   -0.28506   -0.20594    0.43462   -0.23714   -0.34572 
    5300   -4.00157   -0.24379    0.65809   -0.24364    0.32166    0.31085   -0.18842 
    5400   -3.99035   -0.06834    0.12822   -0.11394   -0.41062   -0.04777    0.15749 
    5500   -4.00126    0.15997    0.07391   -1.18107    0.24254   -0.07828   -0.27151 
    5600   -3.99020   -0.09420    0.13897    0.14964    0.07449   -0.16688   -0.24295 
    5700   -4.00225   -0.10875    0.14180   -0.40865   -0.95259    0.11805    0.54774 
    5800   -4.00299    0.62418   -0.75237   -0.32943    0.06301    0.08996   -0.51620 
    5900   -3.98266   -1.07811   -0.97536    0.15554   -0.07202    0.05348    0.04593 
    6000   -4.00203    0.25652   -0.22396    0.52959    0.53335   -0.25628   -0.14305 
    6100   -4.00101    0.30569   -0.33731    0.23287   -0.20214   -0.54201   -0.16309 
    6200   -4.00153   -0.05714   -0.31366    0.41008   -0.55454    0.35574    0.11525 
    6300   -4.00277   -0.73112   -1.03387    0.46824    0.00429    0.05897    0.44933 
    6400   -4.00019    0.27522   -0.11752    0.38310   -0.07969    0.01302   -0.52716 
    6500   -3.99809   -0.26870   -0.14399   -0.17034    0.23368    0.22213   -0.42833 
    6600   -3.98737    0.13992    0.09751    0.07412    0.10200    0.26830    0.04832 
